key,company,year,ev_ebitda,basis
SMIN,Smiths Group plc,2022,19.61,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SMIN,Smiths Group plc,2023,9.93,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SMIN,Smiths Group plc,2024,9.17,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SPX,Spirax Group plc,2020,26.68,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SPX,Spirax Group plc,2021,29.93,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SPX,Spirax Group plc,2022,22.8,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SPX,Spirax Group plc,2023,18.54,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SPX,Spirax Group plc,2024,15.88,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SPX,Spirax Group plc,2025,15.12,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SRAIL,Stadler Rail AG,2020,18.77,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SRAIL,Stadler Rail AG,2021,16.75,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SRAIL,Stadler Rail AG,2022,19.0,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
